GrLivArea,SalePrice
0,4260630568
1,4260452798
2,4260353406
3,4260272376
4,4260082928
5,4259764018
6,4258990529
7,4258835295
8,4247263043
9,4247155821
10,4243963257
11,4241678498
12,4241538868
13,4241394461
14,4233222221
15,4233113995
16,4231100932
17,4229230455
18,4229039003
19,4228952659
20,4228244819
21,4227123625
22,4222795586
23,4222632382
24,4219736584
25,4219647531
26,4219545724
27,4219463634
28,4217069365
29,4216998163
30,4214820366
31,4208036316
32,4205806443
33,4205778093
34,4205718397
35,4205609024
36,4201063474
37,4201002719
38,4200860184
39,4191943697
40,4191827488
41,4186297500
42,4186224914
43,4186016838
44,4185880938
45,4183509170
46,4183404231
47,4169877994
48,4169807983
49,4169722149
50,4169630150
51,4163513474
52,4161051062
53,4160473191
54,4158940409
55,4158792026
56,4158690093
57,4150560544
58,4150339701
59,4150233255
60,4150072840
61,4141879503
62,4141756373
63,4141536785
64,4139317309
65,4137337572
66,4137221905
67,4136497029
68,4135625642
69,4135631513
70,4135503804
71,4135463990
72,4132750156
73,4132662255
74,4131438536
75,4131349884
76,4131228269
77,4131183383
78,4130838785
79,4127304820
80,4127195860
81,4127134706
82,4127017961
83,4126859718
84,4126778547
85,4126741986
86,4126486529
87,4125363745
88,4125243537
89,4125181013
90,4124979926
91,4124953438
92,4124850963
93,4124417063
94,4124110363
95,4124060029
96,4120640812
97,4120513018
98,4120336083
99,4120244000
0,4260995585
1,4260082928
2,4259764018
3,4259734493
4,4257772969
5,4257390846
6,4257227402
7,4241563962
8,4241451592
9,4240992890
10,4240660159
11,4240354239
12,4240138715
13,4239979256
14,4239909363
15,4239844329
16,4237076217
17,4236209362
18,4236142587
19,4235811213
20,4235211937
21,4235038935
22,4233009853
23,4233011399
24,4232843469
25,4232833087
26,4232673227
27,4232304535
28,4232135489
29,4231892073
30,4231554212
31,4231481467
32,4231151563
33,4231100932
34,4230942397
35,4230915010
36,4230204841
37,4229975726
38,4229542906
39,4228752344
40,4227532963
41,4227386495
42,4227278479
43,4227225657
44,4226252789
45,4226146060
46,4225290711
47,4225136570
48,4225069903
49,4225054326
50,4224937366
51,4224891658
52,4223061077
53,4222966815
54,4222847666
55,4222810614
56,4222763533
57,4222632382
58,4218237494
59,4217069365
60,4216892789
61,4216753503
62,4216560666
63,4216069997
64,4216075409
65,4216061140
66,4215966736
67,4215980399
68,4215759559
69,4215773214
70,4215663649
71,4215363858
72,4214979998
73,4214990276
74,4214820366
75,4214734117
76,4214665912
77,4214567366
78,4214510083
79,4214257445
80,4214300686
81,4213991159
82,4213865508
83,4213441509
84,4212778061
85,4212617083
86,4211647338
87,4211663289
88,4211526181
89,4211418387
90,4211344801
91,4210427204
92,4210322448
93,4209372132
94,4209234345
95,4209052195
96,4208873115
97,4208646221
98,4208432716
99,4208294656
0,4258849234
1,4258833511
2,4258774433
3,4258644986
4,4258610159
5,4257772969
6,4257605789
7,4257513560
8,4255795289
9,4255761502
10,4255663162
11,4255601634
12,4255379515
13,4255228631
14,4252707261
15,4251918236
16,4249716387
17,4247346627
18,4247333254
19,4247328744
20,4247263043
21,4247161499
22,4247052472
23,4242033414
24,4241849807
25,4241836803
26,4241678498
27,4241538868
28,4239392496
29,4239164903
30,4239025985
31,4238878723
32,4238834904
33,4236315023
34,4236209362
35,4236105557
36,4235949878
37,4235878601
38,4235811213
39,4233009853
40,4233011399
41,4232843469
42,4232833087
43,4232673227
44,4232242673
45,4232200699
46,4232080526
47,4231598145
48,4231151563
49,4231100932
50,4230942397
51,4230915010
52,4230266081
53,4230208526
54,4229975726
55,4229721654
56,4228279942
57,4227969696
58,4227532963
59,4227530167
60,4227386495
61,4227430077
62,4227265183
63,4227225657
64,4227058495
65,4225290711
66,4225136570
67,4225069903
68,4224988597
69,4224787553
70,4222928079
71,4222913538
72,4222847666
73,4222871985
74,4222795586
75,4222703051
76,4218502020
77,4218466693
78,4218420630
79,4218331896
80,4218250379
81,4218098744
82,4217552064
83,4217420625
84,4217209852
85,4216061140
86,4215971474
87,4215861925
88,4215773214
89,4215663649
90,4215529839
91,4214979998
92,4214990276
93,4214820366
94,4214446303
95,4214366208
96,4214361102
97,4214305053
98,4213865508
99,4213578403
0,4232833087
1,4232573394
2,4232492751
3,4232242673
4,4232200699
5,4232080526
6,4231598145
7,4231151563
8,4231100932
9,4230942397
10,4230915010
11,4227532963
12,4227379588
13,4225290711
14,4225136570
15,4225069903
16,4224988597
17,4224787553
18,4222955290
19,4222901168
20,4222855407
21,4222795586
22,4222632382
23,4220436726
24,4218466693
25,4218420630
26,4218250379
27,4218098744
28,4217740790
29,4217472738
30,4217420625
31,4217209852
32,4216941024
33,4216789811
34,4216753503
35,4216573409
36,4214510083
37,4211647338
38,4211663289
39,4211557534
40,4211491708
41,4211414401
42,4211326214
43,4210725194
44,4210607036
45,4210544654
46,4208540749
47,4207880258
48,4206501111
49,4206197847
50,4206140902
51,4205806443
52,4205778093
53,4205783924
54,4205702275
55,4204484753
56,4204457873
57,4204328322
58,4204007475
59,4203914434
60,4203882960
61,4201063474
62,4198552194
63,4198462558
64,4198395009
65,4198306605
66,4198248878
67,4197426798
68,4197308418
69,4195441590
70,4195372238
71,4195138604
72,4192887757
73,4192842152
74,4192401716
75,4190860735
76,4190803739
77,4190688784
78,4190660384
79,4190575102
80,4188544300
81,4188343925
82,4188230162
83,4187989751
84,4186343383
85,4186224914
86,4185731652
87,4183820553
88,4183755992
89,4183652925
90,4182229765
91,4179312302
92,4177980514
93,4174736476
94,4174692944
95,4174637416
96,4174653172
97,4174536861
98,4174437979
99,4174345259
0,4260995585
1,4255663162
2,4239407294
3,4239403192
4,4239164903
5,4239025985
6,4238878723
7,4238834904
8,4236209362
9,4236142587
10,4235878601
11,4235811213
12,4233011399
13,4232817070
14,4232673227
15,4232573394
16,4227530167
17,4227386495
18,4227351515
19,4227265183
20,4227225657
21,4227058495
22,4224787553
23,4213091665
24,4212926342
25,4212778061
26,4212455766
27,4211649508
28,4210725194
29,4205747984
30,4205741567
31,4205711950
32,4205636998
33,4205601397
34,4200248765
35,4200223685
36,4200189819
37,4200127990
38,4198435258
39,4198440135
40,4198353149
41,4198236758
42,4198223700
43,4198168083
44,4195471044
45,4195454579
46,4193072056
47,4190818578
48,4190771229
49,4190674405
50,4190644125
51,4188544300
52,4174736476
53,4174684881
54,4174586058
55,4174568521
56,4174437979
57,4174345259
58,4159504525
59,4159458138
60,4159441293
61,4159327884
62,4154572688
63,4152524765
